post_uri,posted_at,text
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munqwx7tv22s,2026-09-04T00:55:34.236Z,
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munrnazx5k2s,2026-09-04T01:08:02.727Z,"*Calling Lindt*
""Yes, I was wondering if you could fashion a king-size bed made out of Lindor truffles for me? Hel-- Hello?"" (dial tone)

Make me a truffle bed, cowards!!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munus65z4s2h,2026-09-04T02:04:28.708Z,😊
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munukmmke22h,2026-09-04T02:00:15.433Z,I fuckled the tick monster
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munuibeti22h,2026-09-04T01:58:56.528Z,"I always hope so. A lot of people have misinformed opinions of me, though."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munwcolmps2e,2026-09-04T02:31:36.534Z,"Scooby-daba doo!

RILMA!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munx3i6pcc2e,2026-09-04T02:45:28.691Z,Scorching if literal: soup to nuts
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muoqxy5gek27,2026-09-04T10:28:48.493Z,"The human body is mostly water, which explains why I am so easily distracted by shiny objects"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muosrnmurs2s,2026-09-04T11:01:03.621Z,"Wisconsin boy, obviously. 
mydialect.us/quiz-standar..."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muoyg2zsm22s,2026-09-04T12:41:57.481Z,"Well no, not everything."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muoyevzoys2s,2026-09-04T12:41:18.677Z,I don't sleepwalk. I sleep-cha cha slide.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muoyafa6k22s,2026-09-04T12:38:46.848Z,Thank Goodness It's Fucked
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muoy6tr7bc2s,2026-09-04T12:37:54.966Z,If she's still wearing them it might be a tight fit.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muozipxars2j,2026-09-04T13:01:20.244Z,"Today's teenager excuse for being late for morning pick-up: ""There was a squirrel eating something in a tree and it was dropping in my hair so I couldn't go outside and had tk wait for it to finish.""

4/10. Creative but stupid."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mup2hwkh6s24,2026-09-04T13:18:47.372Z,Yup. That and soda.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mup47dvcm22w,2026-09-04T13:49:46.856Z,"He's had maybe 5 haircuts in his life, he would absolutely die 🤣"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mup45u7y2k2w,2026-09-04T13:48:56.873Z,"You haven't met The Boy. His excuses are as wild as his hair. Stubborn as a mule, that one."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mup3vipmg22w,2026-09-04T13:44:16.350Z,This is what I told him. His Weird Al hair wouldn't fit inside a hat and hes very sensitive about it.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mup52rkozk2x,2026-09-04T14:05:07.156Z,"I could explain why I'm right, but watching you figure it out is more entertaining."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mup5ope4lk2p,2026-09-04T14:16:15.928Z,youtube.com/shorts/rauyq...
