post_uri,posted_at,text
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukwtzpzr22n,2026-09-02T22:03:19.431Z,"Me: If a butterfly loses its wings what do you call it?
15: A butterwalk?
Me: No. Dead."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukw3r4grs22,2026-09-02T21:49:45.087Z,I can just pilfer the snack cart in Business Class. They don't mind.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukvx3gx4c22,2026-09-02T21:47:08.155Z,"I mean, that's the point. Watchu want?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukvseywbs2p,2026-09-02T21:44:30.411Z,Taunting the order box is a McFelony...
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukvaigros2p,2026-09-02T21:34:30.030Z,Imagine hating me and I'm just over here stalking your meals on the media tab.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukv36lym22p,2026-09-02T21:31:31.945Z,Plus I'll pack snacks.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukuzvlvcc2p,2026-09-02T21:30:48.944Z,"I love free speech.

Especially the part where you're free to speak and the algorithm is free to decide whether anyone gives a shit"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukt5z6m4k2g,2026-09-02T20:57:19.441Z,"Careful, the floor just jumps at ya if you let it"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukszerv522g,2026-09-02T20:54:43.837Z,Of course she is 😅
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muksymlnqk2g,2026-09-02T20:54:18.465Z,Who wants to go to Korea with me next week? I have extra space in my carry-on luggage if you don't mind tight spaces
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukskocmlc2g,2026-09-02T20:46:30.506Z,Good choices all around!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muksjf2ra22g,2026-09-02T20:45:47.249Z,"I heard someone say ""spaghettification"" and I thought they said ""spaghetti vacation"" and I responded, ""Ooh, I want that."" Long story short, they're sending me to a black hole next week"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukqw53n722r,2026-09-02T20:17:07.614Z,"Do y'all still get a jump scare making popcorn, or are you normal?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukqmgrmhc26,2026-09-02T20:11:42.209Z,"If I find you in my house, I'll just assume the cat brought home a friend"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukpncydy226,2026-09-02T19:54:18.042Z,"Me: *pops gas cap*
Car alert msg: To unlock gas tank, please subscribe to Gas Refueling Plan
Me (irritated): What? I bought the damn car! I'm calling Toyota
Customer Service: To file a complaint, please subscribe to our 'Customer Compliant' service
Me: *screams*
CS: To scream into the void...."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muki3giv3s22,2026-09-02T17:39:01.588Z,Supergluing glass shards to a wooden skewer and selling it as rock candy
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukgwxxj2k22,2026-09-02T17:18:38.378Z,"*walks into a three-star Michelin restaurant*
Serve me a corndog, you cowards!!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukg4fmi4s2o,2026-09-02T17:03:46.727Z,"Its been done before, years ago. That's a hell of a venue."
